,date_time
0,2023-02-17 11:50:44.355114
1,2023-02-17 11:50:44.355114
2,2023-02-17 11:50:44.355114
3,2023-02-17 11:50:44.355114
4,2023-02-17 11:50:44.355114
5,2023-02-17 11:50:44.355114
6,2023-02-17 11:50:44.355114
7,2023-02-17 11:50:44.355114
8,2023-02-17 11:50:44.355114
9,2023-02-17 11:50:44.355114
10,2023-02-17 11:50:44.774109
11,2023-02-17 11:50:44.774109
12,2023-02-17 11:50:44.774109
13,2023-02-17 11:50:44.774109
14,2023-02-17 11:50:44.774109
15,2023-02-17 11:50:44.774109
16,2023-02-17 11:50:44.774109
17,2023-02-17 11:50:44.774109
18,2023-02-17 11:50:44.774109
19,2023-02-17 11:50:45.238011
20,2023-02-17 11:50:45.238011
21,2023-02-17 11:50:45.238011
22,2023-02-17 11:50:45.238011
23,2023-02-17 11:50:45.238011
24,2023-02-17 11:50:45.238011
25,2023-02-17 11:50:45.238011
26,2023-02-17 11:50:45.238011
27,2023-02-17 11:50:45.363027
28,2023-02-17 11:50:45.363027
29,2023-02-17 11:50:45.363027
30,2023-02-17 11:50:45.363027
31,2023-02-17 11:50:45.363027
32,2023-02-17 11:50:45.363027
33,2023-02-17 11:50:45.363027
34,2023-02-17 11:50:45.940382
35,2023-02-17 11:50:45.940382
36,2023-02-17 11:50:45.940382
37,2023-02-17 11:50:45.940382
38,2023-02-17 11:50:45.940382
39,2023-02-17 11:50:45.940382
40,2023-02-17 11:50:45.940382
41,2023-02-17 11:50:45.940382
42,2023-02-17 11:50:45.940382
43,2023-02-17 11:50:46.389121
44,2023-02-17 11:50:46.389121
45,2023-02-17 11:50:46.532711
46,2023-02-17 11:50:46.532711
47,2023-02-17 11:50:46.532711
48,2023-02-17 11:50:46.532711
49,2023-02-17 11:50:46.532711
50,2023-02-17 11:50:46.532711
51,2023-02-17 11:50:46.532711
52,2023-02-17 11:50:46.532711
53,2023-02-17 11:50:46.978190
54,2023-02-17 11:50:46.978190
55,2023-02-17 11:50:46.978190
56,2023-02-17 11:50:46.978190
57,2023-02-17 11:50:47.109376
58,2023-02-17 11:50:47.109376
59,2023-02-17 11:50:47.109376
60,2023-02-17 11:50:47.109376
61,2023-02-17 11:50:47.109376
62,2023-02-17 11:50:47.356556
63,2023-02-03 16:38:25.692015
64,2023-02-03 16:38:25.692015
65,2023-02-03 16:38:25.692015
66,2023-02-03 16:38:25.692015
67,2023-02-03 16:38:25.692015
68,2023-02-03 16:38:25.692015
69,2023-02-03 16:38:25.692015
70,2023-02-03 16:38:25.692015
71,2023-02-03 16:38:25.692015
