description
"rattache au pole customer data intelligence, vous etes en charge des analyses data digitales et transverses.

vous analysez le comportement des visiteurs en vue d'ameliorer les parcours et de personnaliser les audiences.

vous mettrez en evidence les parcours clients et la pertinence de chaque etape sur la plateforme e-commerce.

vous mesurez les performances des canaux d'acquisition et des animations commerciales pour developper la fidelisation et la valeur client.

vous recuperez et consolidez les donnees de sources externes et d'outils internes pour poursuivre la creation d'une vue client 360°.

votre contribution au developpement de la connaissance client multi-canal sera un veritable atout.

vous devrez egalement implementer et faire de la maintenance de reportings de data visualisation dans power bi.

ce poste est a pourvoir en cdi, des que possible, la remuneration proposee est d'environ 50k €."
"* *banque** *cdi** *nantes*vous rejoignez le departement des risques et aurez le role d'un(e) data analyste risques. vous travaillez en mode projets et etes le/la referent/e entre les metiers risk et les equipes it.vos missions:* recueil et specification des besoins* accompagnement de l'equipe risk : uses-cases, automatisation, mapping* analyses data et production des indicateurs de risques* recettage* data quality et fiabilisation de la donneevotre profil :* vous avez 3 annees d'experience sur un role similaire dans le secteur financier (banque, assurance ..).* *vous maitrisez sas.** vous comprenez les concepts reglementaires du risque* vous avez une bonne communicationavantages:* + 45jours de conges* comite d'entreprise* contexte dynamique de transformationtype d'emploi : temps plein, cdisalaire : a partir de 42 000,00€ par anprogrammation :* travail en journeelieu du poste : un seul lieu de travail"
"• banque
• cdi
• nantes

vous rejoignez le departement des risques et aurez le role d'un(e) data analyste risques. vous travaillez en mode projets et etes le/la referent/e entre les metiers risk et les equipes it.

vos missions:
• recueil et specification des besoins
• accompagnement de l'equipe risk : uses-cases, automatisation, mapping
• analyses data et production des indicateurs de risques
• recettage
• data quality et fiabilisation de la donnee

votre profil :
• vous avez 3 annees d'experience sur un role similaire dans le secteur financier (banque, assurance ..).
• vous maitrisez sas.
• vous comprenez les concepts reglementaires du risque
• vous avez une bonne communication

avantages:
• + 45jours de conges
• comite d'entreprise
• contexte dynamique de transformation

type d'emploi : temps plein, cdi

salaire : a partir de 42 000,00€ par an

programmation :
• travail en journee

lieu du poste : un seul lieu de travail"
"• banque
• cdi
• nantes

vous rejoignez le departement des risques et aurez le role d'un(e) data analyste risques. vous travaillez en mode projets et etes le/la referent/e entre les metiers risk et les equipes it.

vos missions:
• recueil et specification des besoins
• accompagnement de l'equipe risk : uses-cases, automatisation, mapping
• analyses data et production des indicateurs de risques
• recettage
• data quality et fiabilisation de la donnee

votre profil :
• vous avez 3 annees d'experience sur un role similaire dans le secteur financier (banque, assurance ..).
• vous maitrisez sas.
• vous comprenez les concepts reglementaires du risque
• vous avez une bonne communication

avantages:
• + 45jours de conges
• comite d'entreprise
• contexte dynamique de transformation

type d'emploi : temps plein, cdi

salaire : a partir de 45 000,00€ par an

programmation :
• travail en journee

lieu du poste : un seul lieu de travail"
"* *banque** *cdi** *nantes*vous rejoignez le departement des risques et aurez le role d'un(e) data analyste risques. vous travaillez en mode projets et etes le/la referent/e entre les metiers risk et les equipes it.vos missions:* recueil et specification des besoins* accompagnement de l'equipe risk : uses-cases, automatisation, mapping* analyses data et production des indicateurs de risques* recettage* data quality et fiabilisation de la donneevotre profil :* vous avez 3 annees d'experience sur un role similaire dans le secteur financier (banque, assurance ..).* *vous maitrisez sas.** vous comprenez les concepts reglementaires du risque* vous avez une bonne communicationavantages:* + 45jours de conges* comite d'entreprise* contexte dynamique de transformationtype d'emploi : temps plein, cdisalaire : a partir de 45 000,00€ par anprogrammation :* travail en journeelieu du poste : un seul lieu de travail"
"job details

job type

full-time

permanent

number of hires for this role

1

full job description

pour un client base a paris intramuros, nous recherchons un data scientist experimente en computer vision (opencv, pytorch, python, tensorflow).

le projet consiste en un modele d'authentification faciale et la detection du vivant.

si vous avez envie de participer a un projet challengeant alors go go go!!

statut : cadre

date de debut prevue : 20/09/2021

type d'emploi : temps plein, cdi

salaire : a partir de 2 304,00€ par mois

avantages :

- participation au transport

- rtt

- titre-restaurant

- travail a distance

horaires :

- periodes de travail de 8 heures

teletravail:

- oui"
"data engineerup to 65k€ fixe paris - lyon - lille

ce cabinet de conseil specialise dans la data, avec une culture start-up et de belles perspectives d’evolution, recherche un senior data engineer pour completer s..."
"banque cdi nantes vous rejoignez le departement des risques et aurez le role d'un(e) data analyste risques. vous travaillez en mode projets et etes le/la referent/e entre les metiers risk et les equipes it. vos missions: recueil et specification des besoins accompagnement de l'equipe risk : uses-cases, automatisation, mapping analyses data et production des indicateurs de risques recettage data quality et fiabilisation de la donnee votre profil : vous avez 3 annees d'experience sur un role similaire dans le secteur financier (banque, assurance ). vous maitrisez sas. vous comprenez les concepts reglementaires du risque vous avez une bonne communication avantages: 45jours de conges comite d'entreprise contexte dynamique de transformation type d'emploi : temps plein, cdi salaire : a partir de 45 000,00€ par an programmation : travail en journee lieu du poste : un seul lieu de travail"
"expectra recherche ...

dans le cadre de la transformation digitale d'un acteur majeur du domaine de l'aviation, vous interviendrez dans le developpement des scripts pour extraire les donnees de differents systemes, dans l'industrialisation de la chaine (on premise et cloud), la rendre robuste et la monitorer. vous devrez egalement organiser la mco et mcs de la chaine. enfin, vous automatisez le remplissage d'un data catalogue.

pour chacune des etapes, un etat des lieux sera a realiser et la solution sera a deployer en realisant soit meme des activites de deploiement et en pilotant les developpeurs techniques (devops, data engineer, datacatalog, administrateur de base de donnees).

ce poste base a toulouse est a pourvoir dans le cadre d'un cdi.

la remuneration brute annuelle est fixee a partir de 35 000 € negociable selon votre profil et experience.
en resume ...
• toulouse - 31
• cdi
• 35 000 eur par an
• secteur informatique • esn
• bac +5
publiee le 04/04/2023. ref : 152fpgy"
"lynx rh essonne, cabinet de recrutement en cdi, cdd et interim, recherche un data analyst h/f base a proximite de massy (91).
vos missionsdecouvrez les missions qui vous seront confiees : automatiser et industrialiser les retraitements effectues sur les donnees,identifier les leviers permettant d'ameliorer l'excellence operationnelle (impacts et gains),realiser des d'etudes exploratoires en utilisant les bonnes methodologies et modeles d'analyse,mettre en place des dashboard pertinents afin de diffuser la connaissance et faciliter les analyses internes / externes,maintenir la qualite des donnees utilisees et suivre la pertinence dans le temps,assurer des reportings reguliers.

profil recherchede formation bac+5, vous avez une experience de 4 ans minimum en tant que data analyst. savoir etre :reactivite, bonne communication,esprit de synthese, methodique, organisation.
informations complementairestype de contrat : cdi
temps de travail : temps pleinsalaire : 35000 € - 55000 € par an"
